# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   4.1.2      # Version number
#           PDG          Width
DECAY        25     3.84584919E-02   # Lightest neutral Higgs scalar
     7.31449371E-03    3     1000023         1        -1   # BR(~g -> ~chi_20 d  db)
     5.31936241E-02    3     1000025         1        -1   # BR(~g -> ~chi_30 d  db)
     2.69306540E-07    3     1000035         1        -1   # BR(~g -> ~chi_40 d  db)
     2.97334998E-05    3     1000045         1        -1   # BR(~g -> ~chi_50 d  db)
     1.79365465E-02    3     1000022         2        -2   # BR(~g -> ~chi_10 u  ub)
     2.70559626E-02    3     1000023         2        -2   # BR(~g -> ~chi_20 u  ub)
     5.70654262E-02    3     1000025         2        -2   # BR(~g -> ~chi_30 u  ub)
     2.08722619E-07    3     1000035         2        -2   # BR(~g -> ~chi_40 u  ub)
     2.40978727E-05    3     1000045         2        -2   # BR(~g -> ~chi_50 u  ub)
     8.63359800E-03    3     1000022         3        -3   # BR(~g -> ~chi_10 s  sb)
     7.31449371E-03    3     1000023         3        -3   # BR(~g -> ~chi_20 s  sb)
     5.31936241E-02    3     1000025         3        -3   # BR(~g -> ~chi_30 s  sb)
     2.69306540E-07    3     1000035         3        -3   # BR(~g -> ~chi_40 s  sb)
     2.97334998E-05    3     1000045         3        -3   # BR(~g -> ~chi_50 s  sb)
     1.79365465E-02    3     1000022         4        -4   # BR(~g -> ~chi_10 c  cb)
     2.70559626E-02    3     1000023         4        -4   # BR(~g -> ~chi_20 c  cb)
     5.70654262E-02    3     1000025         4        -4   # BR(~g -> ~chi_30 c  cb)
     2.08722619E-07    3     1000035         4        -4   # BR(~g -> ~chi_40 c  cb)
