   mDM     x      nu            b             tau           c             q             t             Z             W
   50.     0.95   0.0305356     0             0.0264881     0             0             0             0             0
   50.     0.96   0.0561853     0             0.020323      0             0             0             0             0
   50.     0.97   0.106982      0             0.0146045     0             0             0             0             0
   50.     0.98   0.157258      0             0.00931956    0             0             0             0             0
   50.     0.99   0.207023      0             0.00445551    0             0             0             0             0
   50.     1.     0.256288      0             0             0             0             0             0             0
   70.     0.01   0.181988      1.54305       0.968192      0.537631      0.0448291     0             0             0
   70.     0.02   0.178557      1.41379       0.926412      0.490299      0.02851       0             0             0
   70.     0.03   0.174655      1.28559       0.89831       0.44768       0.0197648     0             0             0
   70.     0.04   0.170719      1.16437       0.876593      0.410793      0.0143558     0             0             0
   70.     0.05   0.165883      1.05214       0.857995      0.378284      0.0107377     0             0             0
   70.     0.06   0.16122       0.94898       0.841711      0.348554      0.00818591    0             0             0
   70.     0.07   0.156561      0.854413      0.827423      0.320558      0.00631804    0             0             0
   70.     0.08   0.151969      0.768224      0.814699      0.293946      0.00491914    0             0             0
   70.     0.09   0.147846      0.69092       0.80282       0.269119      0.00385989    0             0             0
   70.     0.1    0.143444      0.620799      0.792094      0.245385      0.00304144    0             0             0
   70.     0.11   0.139338      0.558267      0.781763      0.223354      0.00240772    0             0             0
   70.     0.12   0.135519      0.501977      0.772072      0.202627      0.001911      0             0             0
   70.     0.13   0.132088      0.451525      0.762664      0.183324      0.00152025    0             0             0
   70.     0.14   0.128407      0.406505      0.753523      0.165543      0.00121188    0             0             0
   70.     0.15   0.125105      0.365912      0.744369      0.149021      0.000966262   0             0             0
   70.     0.16   0.121745      0.329482      0.735231      0.133817      0.000770639   0             0             0
   70.     0.17   0.118489      0.29688       0.726368      0.119921      0.000614953   0             0             0
   70.     0.18   0.115431      0.267645      0.717548      0.107254      0.000491008   0             0             0
   70.     0.19   0.112405      0.241194      0.708225      0.0956534     0.000391552   0             0             0
   70.     0.2    0.109455      0.217403      0.699032      0.0851199     0.000311966   0             0             0
   70.     0.21   0.106688      0.195995      0.690015      0.0755873     0.000248266   0             0             0
   70.     0.22   0.103675      0.176703      0.681154      0.0669757     0.000197271   0             0             0
   70.     0.23   0.100868      0.159254      0.672094      0.059202      0.000156443   0             0             0
   70.     0.24   0.0984679     0.143437      0.66255       0.0521937     0.000123799   0             0             0
   70.     0.25   0.0958208     0.129181      0.653116      0.0459249     0             0             0             0
   70.     0.26   0.0932872     0.116329      0.643895      0.0403292     0             0             0             0
   70.     0.27   0.0909674     0.104709      0.634827      0.035337      0             0             0             0
   70.     0.28   0.0887342     0.0941942     0.625762      0.0308911     0             0             0             0
   70.     0.29   0.0865241     0.0846492     0.61639       0.0269335     0             0             0             0
   70.     0.3    0.0843908     0.0759759     0.606675      0.0234168     0             0             0             0
   70.     0.31   0.0824006     0.0681325     0.597091      0.0203101     0             0             0             0
   70.     0.32   0.0804052     0.0610404     0.587597      0.0175718     0             0             0             0
   70.     0.33   0.0783307     0.0546292     0.578193      0.0151638     0             0             0             0
   70.     0.34   0.076423      0.0488399     0.568947      0.0130561     0             0             0             0
   70.     0.35   0.0746089     0.0436177     0.559673      0.0112161     0             0             0             0
   70.     0.36   0.072897      0.038903      0.55027       0.00961241    0             0             0             0
   70.     0.37   0.0711887     0.0346304     0.540475      0.00821355    0             0             0             0
   70.     0.38   0.0695069     0.030771      0.530655      0.0069942     0             0             0             0
   70.     0.39   0.0679223     0.0273039     0.520929      0.00594451    0             0             0             0
   70.     0.4    0.0663984     0.0241795     0.511252      0.00503398    0             0             0             0
   70.     0.41   0.0649952     0.0213733     0.501625      0.00425183    0             0             0             0
   70.     0.42   0.0636021     0.0188541     0.492064      0.00357889    0             0             0             0
   70.     0.43   0.0621904     0.0165975     0.482541      0.00300357    0             0             0             0
   70.     0.44   0.0608478     0.0145765     0.473024      0.00251163    0             0             0             0
   70.     0.45   0.059603      0.0127702     0.463459      0.00209329    0             0             0             0
   70.     0.46   0.0584022     0.0111543     0.453675      0.00173684    0             0             0             0
   70.     0.47   0.0572675     0.0097155     0.443738      0.0014364     0             0             0             0
   70.     0.48   0.0561567     0.00843723    0.433858      0.00118175    0             0             0             0
   70.     0.49   0.0550681     0.00731317    0.424038      0.00097181    0             0             0             0
   70.     0.5    0.0540015     0.00631522    0.414248      0.000793218   0             0             0             0
   70.     0.51   0.0530036     0.00544622    0.404484      0.000648629   0             0             0             0
   70.     0.52   0.0520313     0.00467677    0.394759      0.000526113   0             0             0             0
   70.     0.53   0.0510904     0.00400546    0.385101      0.000425896   0             0             0             0
   70.     0.54   0.0501788     0.0034177     0.375471      0.000343088   0             0             0             0
   70.     0.55   0.0492876     0.00290155    0.365839      0.000273747   0             0             0             0
   70.     0.56   0.0484886     0.00245991    0.356253      0.000219339   0             0             0             0
   70.     0.57   0.0477038     0.00207174    0.346598      0.000173413   0             0             0             0
   70.     0.58   0.0469494     0.00173886    0.336826      0.00013678    0             0             0             0
   70.     0.59   0.0462276     0.00145319    0.327011      0.000107494   0             0             0             0
   70.     0.6    0.0455179     0.00120498    0.317252      0             0             0             0             0
   70.     0.61   0.0448654     0.000998425   0.307547      0             0             0             0             0
   70.     0.62   0.0442391     0.000821147   0.297898      0             0             0             0             0
   70.     0.63   0.0436227     0.000668854   0.288306      0             0             0             0             0
   70.     0.64   0.0430604     0.000546081   0.278764      0             0             0             0             0
   70.     0.65   0.0425115     0.000440829   0.269283      0             0             0             0             0
   70.     0.66   0.0419709     0.000351463   0.259862      0             0             0             0             0
   70.     0.67   0.0415336     0.000281814   0.250515      0             0             0             0             0
   70.     0.68   0.0411098     0.000222672   0.241216      0             0             0             0             0
   70.     0.69   0.0406922     0.000173117   0.231963      0             0             0             0             0
   70.     0.7    0.0402835     0.000136185   0.222764      0             0             0             0             0
   70.     0.71   0.0398812     0.000105636   0.213606      0             0             0             0             0
   70.     0.72   0.0394845     0             0.204489      0             0             0             0             0
   70.     0.73   0.0391307     0             0.195362      0             0             0             0             0
   70.     0.74   0.0388113     0             0.186285      0             0             0             0             0
